sampleDate,siteID,siteName,reportDate,covN1_nPMMoV_meanMnNr,covN1_nPMMoV_sdNr,covN2_nPMMoV_meanMnNr,covN2_nPMMoV_sdNr,nPPMoV_Ct_mean,qualityFlag,testB117,detectB117,fractionB117,fractionB117_sd
2020-04-08,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00026,0.0001,0.00013,0.00004,27.35,FALSE,FALSE,,,
2020-04-24,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00015,0.00006,0.00002,0,26.3,FALSE,FALSE,,,
2020-05-05,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00006,0.00002,0.00008,0.00008,27.04,FALSE,FALSE,,,
2020-05-19,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00004,0.00001,0.00002,0.00001,27.43,FALSE,FALSE,,,
2020-06-02,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00005,0.00002,0.00004,0.00001,28.19,FALSE,FALSE,,,
2020-06-10,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00001,0,0.00003,0.00002,26.35,FALSE,FALSE,,,
2020-06-16,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00003,0,0.00002,0.00001,27.74,FALSE,FALSE,,,
2020-06-17,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00004,0.00002,0.00002,0.00001,27.85,FALSE,FALSE,,,
2020-06-19,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00002,0.00001,0.00002,0,27.58,FALSE,FALSE,,,
2020-06-21,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00006,0.00004,0.00002,0.00001,27.08,FALSE,FALSE,,,
2020-06-23,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00029,0.00018,0.00004,0,28.28,FALSE,FALSE,,,
2020-06-26,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00006,0.00002,0.00004,NA,28.28,FALSE,FALSE,,,
2020-06-27,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00008,0.00003,0.00002,NA,28,FALSE,FALSE,,,
2020-06-30,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00006,NA,0.00005,NA,28.57,FALSE,FALSE,,,
2020-07-07,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00004,0,0,NA,26.02,FALSE,FALSE,,,
2020-07-09,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00001,0,0,NA,24.58,FALSE,FALSE,,,
2020-07-12,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00006,0.00002,0.00006,0.00002,26.77,FALSE,FALSE,,,
2020-07-13,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00001,0,0,NA,25.74,FALSE,FALSE,,,
2020-07-15,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00008,0.00003,0.00006,NA,26.17,FALSE,FALSE,,,
2020-07-17,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00026,0.00009,0.0003,0.00011,28.17,FALSE,FALSE,,,
2020-07-19,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00026,0.00009,0.00035,0.00004,28.27,FALSE,FALSE,,,
2020-07-21,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00009,NA,0.00003,0.00001,26.74,FALSE,FALSE,,,
2020-07-23,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00014,0.00004,0.00022,0.00006,27.43,FALSE,FALSE,,,
2020-07-25,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00024,0.00003,0.00009,0.00004,27.76,FALSE,FALSE,,,
2020-07-27,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00016,0.00005,0.00014,0.00003,27.38,FALSE,FALSE,,,
2020-07-29,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00014,0.00003,0.00009,0.00003,26.84,FALSE,FALSE,,,
2020-07-31,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00007,0.00002,0.00011,0,26.6,FALSE,FALSE,,,
2020-08-04,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00012,0.00003,0.00021,0.00002,27.5,FALSE,FALSE,,,
2020-08-08,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00017,0.00005,0.00013,0.00007,28.41,FALSE,FALSE,,,
2020-08-10,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00013,0.00004,0.00011,0.00008,27.22,FALSE,FALSE,,,
2020-08-12,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00022,0.00002,0.00006,0.00001,27.24,FALSE,FALSE,,,
2020-08-14,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00013,0.00006,0.00005,NA,26.66,FALSE,FALSE,,,
2020-08-16,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00016,0.00005,0.00017,0.0001,27.94,FALSE,FALSE,,,
2020-08-18,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00028,0.0001,0.00023,0.00007,27.33,FALSE,FALSE,,,
2020-08-22,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00012,0.00006,0.00017,0.00003,27.24,FALSE,FALSE,,,
2020-08-24,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00021,0.00001,0.00018,0.00009,27.71,FALSE,FALSE,,,
2020-08-26,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00032,0.00006,0.0002,0.00002,26.76,FALSE,FALSE,,,
2020-08-28,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00037,0.0002,0.00022,0.00003,26.85,FALSE,FALSE,,,
2020-08-30,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00023,0.00009,0.00026,0.00002,27.06,FALSE,FALSE,,,
2020-09-01,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00013,0.00002,0.00008,0.00004,25.62,FALSE,FALSE,,,
2020-09-03,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00013,0.00003,0.00016,0.00004,25.59,FALSE,FALSE,,,
2020-09-05,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.0002,0.00001,0.00018,0.00011,26.04,FALSE,FALSE,,,
2020-09-07,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00017,0.00002,0.00013,0.00001,26.08,FALSE,FALSE,,,
2020-09-10,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00025,0.00015,0.00025,0.0001,27.4,FALSE,FALSE,,,
2020-09-11,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00014,0.00007,0.00012,0.00005,26.31,FALSE,FALSE,,,
2020-09-12,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00013,0.00003,0.00019,0.00011,26.56,FALSE,FALSE,,,
2020-09-13,Ottawa-1,Ottawa-ROPEC,2020-11-16,0.00021,0.00005,0.00029,0.0001,27.45,FALSE,FALSE,,,
